City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Sakakah,SA,83.77,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
8,San Patricio,US,76.15,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
11,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Rikitea,PF,79.68,clear sky,-23.1203,-134.9692,People ThankYou
13,Rocha,UY,81.68,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
15,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,Kanniyakumari,IN,83.66,few clouds,8.0833,77.5667,Sparsa Kanyakumari
22,Butaritari,KI,80.69,light rain,3.0707,172.7902,Isles Sunset Lodge
27,Bontang,ID,76.62,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
30,Komsomolskiy,UZ,77.72,overcast clouds,40.4272,71.7189,Ikathouse
33,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,Isangel,VU,79.65,overcast clouds,-19.55,169.2667,Tanna Lodge
39,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
41,Dwarka,IN,81.25,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
42,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Bungu,TZ,76.1,clear sky,-7.6337,39.0582,JaJa Lodge
52,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
56,Meulaboh,ID,75.9,overcast clouds,4.1363,96.1285,Kost Pria
58,Hithadhoo,MV,82.85,few clouds,-0.6,73.0833,Scoop Guest House
65,Mahanoro,MG,77.13,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
67,Twentynine Palms,US,80.98,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
70,Vao,NC,79.41,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
71,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
73,Carlos Chagas,BR,85.69,broken clouds,-17.7031,-40.7664,Minas Hotel
75,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
79,Pacific Grove,US,80.46,clear sky,36.6177,-121.9166,Lovers Point Inn
80,Satipo,PE,88.95,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
89,Atuona,PF,79.12,few clouds,-9.8,-139.0333,Villa Enata
94,Conceicao Do Araguaia,BR,87.06,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
101,Bac Lieu,VN,80.37,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
104,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
105,Rincon,US,82.85,broken clouds,32.296,-81.2354,Days Inn Rincon
109,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
112,Salalah,OM,79.61,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
117,Peruibe,BR,77.7,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
120,Reserva,BR,76.15,overcast clouds,-24.6503,-50.8506,Hotel Mavi
124,Kendari,ID,75.09,overcast clouds,-3.945,122.4989,Hotel Wixel
126,Takoradi,GH,85.15,broken clouds,4.8845,-1.7554,Raybow International Hotel
129,Porto Nacional,BR,87.8,broken clouds,-10.7081,-48.4172,Vila Real Hotel
140,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
143,Yanam,IN,77.05,few clouds,16.7333,82.2167,The Regency Hotel
154,Remedios,CU,87.19,scattered clouds,22.4947,-79.5458,Hostal Yunai
159,Chuy,UY,76.46,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
163,Turayf,SA,79.05,clear sky,31.6725,38.6637,Turaif
173,Faanui,PF,82.78,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,Zaranj,AF,82.36,broken clouds,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
177,Vientiane,LA,85.03,broken clouds,17.9667,102.6,Don Chan Palace Hotel & Convention
179,Beeville,US,75.61,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
180,Padang,ID,77.86,overcast clouds,-0.9492,100.3543,Mercure Padang
189,Lasem,ID,76.3,light rain,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
190,Luganville,VU,77.68,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
191,Dalbandin,PK,83.84,clear sky,28.8947,64.4101,Sanjrani House
192,San Pedro,PH,79.83,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
194,Yenagoa,NG,87.06,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
197,West Bay,KY,86.07,broken clouds,19.3667,-81.4167,Calypso Cove
198,Januaria,BR,88.38,broken clouds,-15.4833,-44.3667,Hotel Paraguassu
199,Sabang,ID,82.63,broken clouds,5.8933,95.3214,Hotel Citra
203,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
