City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tazovskiy,RU,67.4667,78.7,1.62,97,100,8.77,overcast clouds
1,Leningradskiy,RU,69.3833,178.4167,-5.91,97,100,11.79,overcast clouds
2,Tasiilaq,GL,65.6145,-37.6368,23.09,90,100,9.46,light snow
3,Chernyshevskiy,RU,63.0128,112.4714,20.05,95,100,8.59,overcast clouds
4,Mosetse,BW,-20.75,26.65,83.1,28,46,5.44,scattered clouds
5,Upernavik,GL,72.7868,-56.1549,7.18,88,92,3.29,overcast clouds
6,Sakakah,SA,29.9697,40.2064,83.77,18,76,6.11,broken clouds
7,Cape Town,ZA,-33.9258,18.4232,63.27,63,0,17.27,clear sky
8,San Patricio,US,28.017,-97.5169,76.15,16,0,16.84,clear sky
9,Buluang,PH,13.3068,123.3425,74.62,94,100,3.49,overcast clouds
10,Busselton,AU,-33.65,115.3333,67.14,54,79,4.97,light rain
11,Vaini,TO,-21.2,-175.2,77.16,94,75,2.3,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,79.68,63,7,14.14,clear sky
13,Rocha,UY,-34.4833,-54.3333,81.68,34,100,4.94,overcast clouds
14,Kurumkan,RU,54.3,110.3,31.42,88,49,7.07,light snow
15,Mahebourg,MU,-20.4081,57.7,79.09,83,40,11.5,scattered clouds
16,Khatanga,RU,71.9667,102.5,5.47,91,100,13.4,overcast clouds
17,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,78,40,9.22,scattered clouds
18,Kanniyakumari,IN,8.0833,77.5667,83.66,74,24,6.4,few clouds
19,Albany,US,42.6001,-73.9662,47.95,91,100,3.0,moderate rain
20,Jamestown,US,42.097,-79.2353,50.18,76,100,6.91,light rain
21,Bredasdorp,ZA,-34.5322,20.0403,58.71,67,52,6.46,broken clouds
22,Butaritari,KI,3.0707,172.7902,80.69,81,100,16.84,light rain
23,Hobart,AU,-42.8794,147.3294,51.06,88,18,6.91,few clouds
24,Mataura,NZ,-46.1927,168.8643,48.85,66,91,7.7,overcast clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,73,75,10.36,broken clouds
26,Itaituba,BR,-4.2761,-55.9836,91.56,58,40,4.61,scattered clouds
27,Bontang,ID,0.1333,117.5,76.62,90,96,7.4,overcast clouds
28,Palana,RU,59.1167,159.9667,15.93,86,100,4.9,overcast clouds
29,Kalengwa,ZM,-13.4659,25.0027,66.07,96,100,2.57,moderate rain
30,Komsomolskiy,UZ,40.4272,71.7189,77.72,23,100,9.22,overcast clouds
31,Kahului,US,20.8947,-156.47,74.84,74,20,14.97,few clouds
32,Abdulino,RU,53.7,53.6667,26.65,94,47,3.94,scattered clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,84.16,71,50,10.69,scattered clouds
34,Tazmalt,DZ,36.3868,4.3989,65.95,47,2,4.47,clear sky
35,Katsuura,JP,35.1333,140.3,61.09,74,0,19.93,clear sky
36,Isangel,VU,-19.55,169.2667,79.65,79,100,11.81,overcast clouds
37,Punta Arenas,CL,-53.15,-70.9167,44.71,65,0,9.22,clear sky
38,Ushuaia,AR,-54.8,-68.3,42.42,65,20,11.5,few clouds
39,San Cristobal,VE,7.7669,-72.225,78.98,44,77,7.85,broken clouds
40,Visby,SE,57.6409,18.296,43.02,100,75,13.8,light rain
41,Dwarka,IN,22.2394,68.9678,81.25,74,74,11.95,broken clouds
42,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,39,10.83,scattered clouds
43,Bungu,TZ,-7.6337,39.0582,76.1,80,1,5.01,clear sky
44,Port Alfred,ZA,-33.5906,26.891,59.18,75,33,5.99,scattered clouds
