City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Asyut,EG,27.181,31.1837,76.87,17,14,3.47,few clouds
1,Torbay,CA,47.6666,-52.7314,35.58,94,100,20.71,overcast clouds
2,Busselton,AU,-33.65,115.3333,76.12,43,66,10.36,broken clouds
3,Kodiak,US,57.79,-152.4072,36.86,74,89,8.21,overcast clouds
4,Poum,NC,-20.2333,164.0167,81.36,83,100,24.4,overcast clouds
5,Khatanga,RU,71.9667,102.5,17.28,81,100,16.91,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,32.49,92,30,1.97,scattered clouds
7,Caraballeda,VE,10.6112,-66.8522,81.37,82,15,9.95,few clouds
8,Cidreira,BR,-30.1811,-50.2056,68.65,81,12,14.16,few clouds
9,Sedalia,US,38.7045,-93.2283,43.86,62,39,10.0,scattered clouds
10,Nishihara,JP,26.1842,127.7558,72.68,56,20,14.97,few clouds
11,General Roca,AR,-39.0333,-67.5833,63.63,44,93,6.2,overcast clouds
12,Camacupa,AO,-12.0167,17.4833,60.84,96,78,1.23,light rain
13,Nikolskoye,RU,59.7035,30.7861,28.71,86,100,6.71,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,55.6,50,41,6.85,scattered clouds
15,Airai,TL,-8.9266,125.4092,76.82,49,61,3.65,broken clouds
16,Lorengau,PG,-2.0226,147.2712,81.77,82,100,9.66,light rain
17,Qaanaaq,GL,77.484,-69.3632,-1.89,92,95,7.52,overcast clouds
18,Faanui,PF,-16.4833,-151.75,82.56,76,39,21.25,light rain
19,Arraial Do Cabo,BR,-22.9661,-42.0278,74.95,84,13,8.43,few clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,66.87,85,0,4.61,clear sky
21,Hobart,AU,-42.8794,147.3294,67.23,56,20,9.22,few clouds
22,Vaini,TO,-21.2,-175.2,81.45,75,100,9.57,overcast clouds
23,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.95,86,100,6.35,overcast clouds
24,Bredasdorp,ZA,-34.5322,20.0403,56.84,68,95,5.7,light rain
25,Hilo,US,19.7297,-155.09,69.53,92,100,10.36,moderate rain
26,Ketchikan,US,55.3422,-131.6461,38.21,96,100,14.94,moderate rain
27,Kamenka,RU,51.3223,42.7678,38.77,90,73,2.21,broken clouds
28,Akureyri,IS,65.6835,-18.0878,10.33,97,83,3.24,broken clouds
29,Lavrentiya,RU,65.5833,-171.0,-2.74,75,100,6.17,overcast clouds
30,Road Town,VG,18.4167,-64.6167,77.0,74,1,18.07,clear sky
31,Fortuna,US,40.5982,-124.1573,50.67,82,0,0.0,clear sky
32,Kapaa,US,22.0752,-159.319,80.58,80,8,5.99,clear sky
33,Fort Wellington,GY,6.4,-57.6,76.39,87,52,8.93,broken clouds
34,Tasiilaq,GL,65.6145,-37.6368,28.56,93,94,5.57,overcast clouds
35,Linxia,CN,35.6003,103.2064,63.77,18,0,4.05,clear sky
36,Punta Arenas,CL,-53.15,-70.9167,37.78,74,7,2.75,clear sky
37,Lompoc,US,34.6391,-120.4579,73.54,48,0,3.2,clear sky
38,Kavieng,PG,-2.5744,150.7967,82.58,76,100,10.38,light rain
39,Tuktoyaktuk,CA,69.4541,-133.0374,10.9,97,36,8.1,scattered clouds
40,Farmington,US,36.7281,-108.2187,47.7,19,0,8.99,clear sky
41,Cape Town,ZA,-33.9258,18.4232,56.88,84,84,1.99,broken clouds
42,Anadyr,RU,64.75,177.4833,3.7,71,0,17.9,clear sky
43,Yellowknife,CA,62.456,-114.3525,15.49,98,80,4.27,broken clouds
44,Saint George,US,37.1041,-113.5841,61.95,10,0,20.71,clear sky
45,Tura,IN,25.5198,90.2201,82.51,59,46,2.68,scattered clouds
46,Cabo San Lucas,MX,22.8909,-109.9124,69.51,72,6,9.15,clear sky
47,Santa Ines,BR,-3.6667,-45.38,73.63,98,100,2.77,overcast clouds
48,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.78,81,98,4.27,overcast clouds
49,Vanimo,PG,-2.6741,141.3028,85.3,70,95,6.11,overcast clouds
50,Sao Filipe,CV,14.8961,-24.4956,70.79,78,5,11.79,clear sky
51,Dikson,RU,73.5069,80.5464,0.7,98,100,14.47,overcast clouds
52,Ust-Karsk,RU,52.7011,118.8077,38.79,28,89,6.85,overcast clouds
53,Hasaki,JP,35.7333,140.8333,61.29,78,100,14.76,overcast clouds
54,Saskylakh,RU,71.9167,114.0833,-0.62,90,23,7.29,few clouds
55,Vardo,NO,70.3705,31.1107,32.94,82,100,21.21,light snow
56,Faya,SA,18.3851,42.4509,60.06,12,0,4.12,clear sky
57,Thompson,CA,55.7435,-97.8558,26.69,90,100,8.99,overcast clouds
58,Bathsheba,BB,13.2167,-59.5167,77.11,78,39,14.92,scattered clouds
59,Dunedin,NZ,-45.8742,170.5036,57.79,43,34,5.01,scattered clouds
60,North Bend,US,43.4065,-124.2243,52.92,94,10,6.04,clear sky
61,Komsomolets,KZ,53.7453,62.0708,37.0,87,100,16.6,overcast clouds
62,Strezhevoy,RU,60.7333,77.5889,28.35,78,75,16.62,broken clouds
63,Svetlogorsk,BY,52.6333,29.7333,43.48,93,100,9.91,overcast clouds
