City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Asyut,EG,76.87,few clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
2,Busselton,AU,76.12,broken clouds,-33.65,115.3333,Observatory Guest House
7,Caraballeda,VE,81.37,few clouds,10.6112,-66.8522,Hotel 15 Letras
16,Lorengau,PG,81.77,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
18,Faanui,PF,82.56,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Vaini,TO,81.45,overcast clouds,-21.2,-175.2,Keleti Beach Resort
30,Road Town,VG,77.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
32,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Fort Wellington,GY,76.39,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
38,Kavieng,PG,82.58,light rain,-2.5744,150.7967,Nusa Island Retreat
45,Tura,IN,82.51,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
48,Sao Jose Da Coroa Grande,BR,76.78,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
49,Vanimo,PG,85.3,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
58,Bathsheba,BB,77.11,scattered clouds,13.2167,-59.5167,Atlantis Hotel
66,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
71,Nizwa,OM,84.34,clear sky,22.9333,57.5333,Orient Apartments
77,Bengkulu,ID,77.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
79,Bentiu,SS,83.91,clear sky,9.2333,29.8333,Mandela hôtel
80,Buchanan,LR,76.06,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
82,Rikitea,PF,78.57,clear sky,-23.1203,-134.9692,People ThankYou
83,Ciudad Bolivar,VE,80.42,clear sky,8.1222,-63.5497,Hotel Edi
85,Yuanli,TW,84.24,broken clouds,24.4397,120.6535,東里家風古厝民宿
87,Hithadhoo,MV,82.29,clear sky,-0.6,73.0833,Scoop Guest House
88,San-Pedro,CI,77.36,overcast clouds,4.7485,-6.6363,Hotel Maria
89,Soyo,AO,77.38,overcast clouds,-6.1349,12.3689,Hotel Mpampa
90,Puerto Ayora,EC,77.52,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Kapit,MY,88.36,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
97,Blythe,US,79.03,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
102,Gombe,NG,76.59,scattered clouds,10.2897,11.1673,Custodian Hotel Gombe
105,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
118,Nisia Floresta,BR,76.01,light rain,-6.0911,-35.2086,Rancho Crepusculo
119,Victoria,HK,78.04,scattered clouds,22.2855,114.1577,Mini Hotel Central
120,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
126,Ituiutaba,BR,75.65,overcast clouds,-18.9689,-49.465,Bernal Hotel
127,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
133,Coxim,BR,76.12,clear sky,-18.5067,-54.76,Hotel Avenida
141,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
149,Carnarvon,AU,86.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
154,Alizai,PK,81.95,clear sky,33.5383,70.3462,Alizai Rest House
159,Atuona,PF,79.29,few clouds,-9.8,-139.0333,Villa Enata
160,Kendari,ID,88.9,overcast clouds,-3.945,122.4989,Hotel Wixel
167,San Onofre,CO,78.93,broken clouds,9.7359,-75.5263,Hotel Sinai
170,Bosconia,CO,80.06,overcast clouds,9.9689,-73.8836,Hotel Jorlin
171,Dong Hoi,VN,75.87,overcast clouds,17.4833,106.6,Nam Long Hotel
173,Sur,OM,88.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
174,Kudahuvadhoo,MV,83.25,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
187,Teknaf,BD,87.48,clear sky,20.8624,92.3058,Forestry Guesthouse
193,Doba,TD,79.66,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
196,Pangai,TO,82.04,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
199,Bay Saint Louis,US,75.29,scattered clouds,30.3088,-89.33,The Abode Guest House
201,Port Blair,IN,80.64,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
202,Kirakira,SB,82.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
207,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
212,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
213,Fort Walton Beach,US,76.05,mist,30.4058,-86.6188,Best Western Ft. Walton Beachfront
214,Puntarenas,CR,81.72,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
216,Port-Gentil,GA,79.92,overcast clouds,-0.7193,8.7815,Fengshui Residence
